Informe de inventario
Producto        cantidad        Precio Unitario         Valor Total          Ubicación
ChilliPasteSambalOelek           45.36           $1.04               $47.17                   CG
ShiratamakoRiceFlour            9.78          $30.99              $303.08                   FR
NantucketKiwiBerryCktl.           98.22           $4.11              $403.68                   FR
AsparagusWhiteCanned           62.33          $42.61             $2655.88                   FR
BeerSteamwhistle           90.92          $85.67             $7789.12                   FR
IslandOasisIceCreamMix           45.37          $92.14             $4180.39                   IT
BreadPumpernickleRounds           20.96          $70.28             $1473.07                   IT
Persimmons           89.16          $27.55             $2456.36                   IQ
Rhubarb              99.64          $72.21             $7195.00                   NA
WineSemiDryRieslingVineland            8.34          $93.35              $778.54                   PE
CrackersCheezIt           52.83          $62.60             $3307.16                   PE
KaffirLimeLeaves           32.67          $23.32              $761.86                   BG
BeerMolsonExcel            9.41          $88.44              $832.22                   BF
JuiceOrangina           48.02           $6.34              $304.45                   IN
VealInsideProvimi           17.68          $17.10              $302.33                   CO
LentilsRedDry           48.65          $96.59             $4699.10                   CN
EcolabMedallion           51.09          $59.89             $3059.78                   CN
BeerMaudite            4.22          $97.94              $413.31                   CN
CheeseLeCheveNoir            2.47          $70.23              $173.47                   MN
BreadRollCalabrese           16.49           $3.37               $55.57                   RU
AlizeSunset           87.64           $3.85              $337.41                   RU
CakeNightAndDayChoclate           12.29          $85.79             $1054.36                   RU
TomatoesCherryYellow           30.82          $81.47             $2510.91                   AO
WineDubouefMaconVillages           51.78          $37.32             $1932.43                   CM
ChilliPasteHotSambalOelek           21.75          $85.60             $1861.80                   LY
AspicClear           32.52          $31.53             $1025.36                   GR
PastaBaulettiChickenWhite           57.29          $27.84             $1594.95                   IR
PearPrickly           39.02          $84.63             $3302.26                   GY
ShrimpBabyWarmWater           12.03          $15.26              $183.58                   AE
SeaBassWhole           48.48          $64.09             $3107.08                   DE
PicklesGherkins           19.80          $76.78             $1520.24                   PT
MilkChocolate250Ml            3.58          $28.29              $101.28                   VU
TableCloth90x90Colour           42.30          $60.82             $2572.69                   PR
WineShirazWolfBlassPremium           66.09           $1.24               $81.95                   ZA
MuffinHingeContainer6           76.68          $59.22             $4540.99                   TZ
SeaBassWhole           37.88          $83.43             $3160.33                   SN
TrufflePaste           29.93          $86.26             $2581.76                   SD
OysterInShell           93.24          $45.90             $4279.72                   RO
IslandOasisPeachDaiquiri           50.72          $94.62             $4799.13                   CD
ChocolateDarkCallets           80.04          $30.41             $2434.02                   PF
Cup3.5ozFoam            9.66          $45.06              $435.28                   MY
DcHikiageHiraHuba           77.55          $88.23             $6842.24                   MY
LongosLasagnaBeef            7.99          $46.51              $371.61                   NO
ChilliPasteGingerGarlic           98.18          $93.43             $9172.96                   CU
